kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 181 : 32 320 0 0 0 0 0 0 0 
_1.ptx 182 : 32 352 0 0 0 0 0 0 0 
_1.ptx 183 : 32 11840 1152 0 0 14 1 0 0 
_1.ptx 184 : 32 224 0 0 0 0 0 0 0 
_1.ptx 185 : 32 320 0 0 0 0 0 0 0 
_1.ptx 186 : 32 352 0 0 0 0 0 0 0 
_1.ptx 187 : 32 11680 992 0 0 14 1 0 0 
_1.ptx 188 : 32 256 0 0 0 0 0 0 0 
_1.ptx 189 : 32 256 0 0 0 0 0 0 0 
_1.ptx 190 : 32 256 0 0 0 0 0 0 0 
_1.ptx 192 : 32 224 0 0 0 0 0 0 0 
_1.ptx 193 : 32 320 0 0 0 0 0 0 0 
_1.ptx 194 : 32 352 0 0 0 0 0 0 0 
_1.ptx 195 : 32 10048 1024 0 0 13 1 0 0 
_1.ptx 196 : 32 256 0 0 0 0 0 0 0 
_1.ptx 197 : 32 224 0 0 0 0 0 0 0 
_1.ptx 198 : 32 224 0 0 0 0 0 0 0 
_1.ptx 199 : 32 320 0 0 0 0 0 0 0 
_1.ptx 200 : 32 352 0 0 0 0 0 0 0 
_1.ptx 201 : 32 10944 1184 0 0 13 1 0 0 
_1.ptx 202 : 32 224 0 0 0 0 0 0 0 
_1.ptx 203 : 32 224 0 0 0 0 0 0 0 
_1.ptx 204 : 32 320 0 0 0 0 0 0 0 
_1.ptx 205 : 32 352 0 0 0 0 0 0 0 
_1.ptx 206 : 32 11008 896 0 0 14 1 0 0 
_1.ptx 207 : 32 224 0 0 0 0 0 0 0 
_1.ptx 208 : 32 320 0 0 0 0 0 0 0 
_1.ptx 209 : 32 352 0 0 0 0 0 0 0 
_1.ptx 210 : 32 10016 928 0 0 15 1 0 0 
_1.ptx 211 : 32 256 0 0 0 0 0 0 0 
_1.ptx 212 : 32 256 0 0 0 0 0 0 0 
_1.ptx 213 : 32 256 0 0 0 0 0 0 0 
_1.ptx 215 : 32 224 0 0 0 0 0 0 0 
_1.ptx 216 : 32 320 0 0 0 0 0 0 0 
_1.ptx 217 : 32 352 0 0 0 0 0 0 0 
_1.ptx 218 : 32 10336 1120 0 0 15 1 0 0 
_1.ptx 219 : 32 8192 32 0 0 1 1 0 0 
_1.ptx 220 : 32 256 0 0 0 0 0 0 0 
_1.ptx 221 : 32 224 0 0 0 0 0 0 0 
_1.ptx 222 : 32 224 0 0 0 0 0 0 0 
_1.ptx 223 : 32 320 0 0 0 0 0 0 0 
_1.ptx 224 : 32 352 0 0 0 0 0 0 0 
_1.ptx 225 : 32 11104 1056 0 0 13 1 0 0 
_1.ptx 226 : 32 224 0 0 0 0 0 0 0 
_1.ptx 227 : 32 224 0 0 0 0 0 0 0 
_1.ptx 228 : 32 320 0 0 0 0 0 0 0 
_1.ptx 229 : 32 352 0 0 0 0 0 0 0 
_1.ptx 230 : 32 11456 992 0 0 14 1 0 0 
_1.ptx 231 : 32 224 0 0 0 0 0 0 0 
_1.ptx 232 : 32 320 0 0 0 0 0 0 0 
_1.ptx 233 : 32 352 0 0 0 0 0 0 0 
_1.ptx 234 : 32 11872 1184 0 0 14 1 0 0 
_1.ptx 235 : 32 256 0 0 0 0 0 0 0 
_1.ptx 236 : 32 256 0 0 0 0 0 0 0 
_1.ptx 237 : 32 256 0 0 0 0 0 0 0 
_1.ptx 239 : 32 224 0 0 0 0 0 0 0 
_1.ptx 240 : 32 320 0 0 0 0 0 0 0 
_1.ptx 241 : 32 352 0 0 0 0 0 0 0 
_1.ptx 242 : 32 10496 1376 0 0 15 1 0 0 
_1.ptx 243 : 32 256 0 0 0 0 0 0 0 
_1.ptx 244 : 32 224 0 0 0 0 0 0 0 
_1.ptx 245 : 32 224 0 0 0 0 0 0 0 
_1.ptx 246 : 32 320 0 0 0 0 0 0 0 
_1.ptx 247 : 32 352 0 0 0 0 0 0 0 
_1.ptx 248 : 32 11424 1248 0 0 14 1 0 0 
_1.ptx 249 : 32 224 0 0 0 0 0 0 0 
_1.ptx 250 : 32 224 0 0 0 0 0 0 0 
_1.ptx 251 : 32 320 0 0 0 0 0 0 0 
_1.ptx 252 : 32 352 0 0 0 0 0 0 0 
_1.ptx 253 : 32 11328 1152 0 0 14 1 0 0 
_1.ptx 254 : 32 224 0 0 0 0 0 0 0 
_1.ptx 255 : 32 320 0 0 0 0 0 0 0 
_1.ptx 256 : 32 352 0 0 0 0 0 0 0 
_1.ptx 257 : 32 10208 1152 0 0 14 1 0 0 
_1.ptx 258 : 32 256 0 0 0 0 0 0 0 
_1.ptx 259 : 32 256 0 0 0 0 0 0 0 
_1.ptx 260 : 32 256 0 0 0 0 0 0 0 
_1.ptx 262 : 32 224 0 0 0 0 0 0 0 
_1.ptx 263 : 32 320 0 0 0 0 0 0 0 
_1.ptx 264 : 32 352 0 0 0 0 0 0 0 
_1.ptx 265 : 32 10208 1088 0 0 14 1 0 0 
_1.ptx 266 : 32 10048 32 0 0 1 1 0 0 
_1.ptx 267 : 32 256 0 0 0 0 0 0 0 
_1.ptx 268 : 32 224 0 0 0 0 0 0 0 
_1.ptx 269 : 32 224 0 0 0 0 0 0 0 
_1.ptx 270 : 32 320 0 0 0 0 0 0 0 
_1.ptx 271 : 32 352 0 0 0 0 0 0 0 
_1.ptx 272 : 32 10112 992 0 0 12 1 0 0 
_1.ptx 273 : 32 224 0 0 0 0 0 0 0 
_1.ptx 274 : 32 224 0 0 0 0 0 0 0 
_1.ptx 275 : 32 320 0 0 0 0 0 0 0 
_1.ptx 276 : 32 352 0 0 0 0 0 0 0 
_1.ptx 277 : 32 11040 1088 0 0 14 1 0 0 
_1.ptx 278 : 32 224 0 0 0 0 0 0 0 
_1.ptx 279 : 32 320 0 0 0 0 0 0 0 
_1.ptx 280 : 32 352 0 0 0 0 0 0 0 
_1.ptx 281 : 32 11136 1184 0 0 13 1 0 0 
_1.ptx 282 : 32 256 0 0 0 0 0 0 0 
_1.ptx 283 : 32 256 0 0 0 0 0 0 0 
_1.ptx 284 : 32 256 0 0 0 0 0 0 0 
_1.ptx 286 : 32 224 0 0 0 0 0 0 0 
_1.ptx 287 : 32 320 0 0 0 0 0 0 0 
_1.ptx 288 : 32 352 0 0 0 0 0 0 0 
_1.ptx 289 : 32 10048 992 0 0 15 1 0 0 
_1.ptx 290 : 32 256 0 0 0 0 0 0 0 
_1.ptx 291 : 32 224 0 0 0 0 0 0 0 
_1.ptx 292 : 32 224 0 0 0 0 0 0 0 
_1.ptx 293 : 32 320 0 0 0 0 0 0 0 
_1.ptx 294 : 32 352 0 0 0 0 0 0 0 
_1.ptx 295 : 32 11616 1120 0 0 16 1 0 0 
_1.ptx 296 : 32 224 0 0 0 0 0 0 0 
_1.ptx 297 : 32 224 0 0 0 0 0 0 0 
_1.ptx 298 : 32 320 0 0 0 0 0 0 0 
_1.ptx 299 : 32 352 0 0 0 0 0 0 0 
_1.ptx 300 : 32 11584 1088 0 0 15 1 0 0 
_1.ptx 301 : 32 224 0 0 0 0 0 0 0 
_1.ptx 302 : 32 320 0 0 0 0 0 0 0 
_1.ptx 303 : 32 352 0 0 0 0 0 0 0 
_1.ptx 304 : 32 12064 1120 0 0 12 1 0 0 
_1.ptx 305 : 32 256 0 0 0 0 0 0 0 
